pmid,page,tabletype,tabletype_details,tid
30418475,2,result_table_without_subgroup,result_table_without_subgroup,777
17634459,2,TableTidier,result_table_subgroup,10
22378566,2,TableTidier,result_table_subgroup,1553
25047021,1,TableTidier,result_table_subgroup,566
25779603,2,TableTidier,result_table_subgroup,1360
26238672,1,TableTidier,result_table_subgroup,1488
27165179,2,TableTidier,result_table_subgroup,1697
28405473,2,TableTidier,result_table_subgroup,1536
29299340,2,TableTidier,result_table_subgroup,956
22873530,2,TableTidier,result_table_subgroup,888
26275429,2,TableTidier,result_table_subgroup,812
26792812,2,TableTidier,result_table_subgroup,124
30191421,2,TableTidier,result_table_subgroup,1130
27144849,1,TableTidier,result_table_subgroup,325
27639753,4,TableTidier,result_table_subgroup,1849
29463520,2,TableTidier,result_table_subgroup,1395
24283598,2,TableTidier,result_table_subgroup,1840
25465417,2,TableTidier,result_table_subgroup,588
26338971,2,TableTidier,result_table_subgroup,1482
27576774,2,TableTidier,result_table_subgroup,980
28666775,3,TableTidier,result_table_subgroup,868
17560879,2,TableTidier,result_table_subgroup,287
17605774,2,TableTidier,result_table_subgroup,16
20463178,2,TableTidier,result_table_subgroup,1036
21586508,2,TableTidier,result_table_subgroup,936
21645018,2,TableTidier,result_table_subgroup,297
23735746,2,TableTidier,result_table_subgroup,649
25573406,2,TableTidier,result_table_subgroup,1443
25736990,2,TableTidier,result_table_subgroup,668
27316465,5,TableTidier,result_table_subgroup,1254
30053967,2,TableTidier,result_table_subgroup,862
30290801,2,result_table_without_subgroup,result_table_without_subgroup,1248
30815468,3,TableTidier,result_table_subgroup,84
26233481,4,TableTidier,result_table_subgroup,1556
28359411,2,TableTidier,result_table_subgroup,1668
12456232,3,TableTidier,result_table_subgroup,1436
25629790,2,TableTidier,result_table_subgroup,1825
28899222,2,TableTidier,result_table_subgroup,1264
30026335,3,TableTidier,result_table_subgroup,753
30352894,1,TableTidier,result_table_subgroup,223
12803733,2,TableTidier,result_table_subgroup,1584
12803733,3,TableTidier,result_table_subgroup,1213
12803733,4,TableTidier,result_table_subgroup,1746
12803733,5,TableTidier,result_table_subgroup,161
19125778,2,TableTidier,result_table_subgroup,923
19210140,2,TableTidier,result_table_subgroup,904
19650752,2,TableTidier,result_table_subgroup,881
23909985,2,TableTidier,result_table_subgroup,802
25352655,2,TableTidier,result_table_subgroup,1526
25592197,2,TableTidier,result_table_subgroup,351
25795432,3,result_table_without_subgroup,result_table_without_subgroup,853
25881510,2,TableTidier,result_table_subgroup,1126
26179619,2,TableTidier,result_table_subgroup,1210
26524706,2,TableTidier,result_table_subgroup,58
26524706,3,TableTidier,result_table_subgroup,1576
27977934,2,TableTidier,result_table_subgroup,208
28386990,1,TableTidier,result_table_subgroup,109
28432746,1,TableTidier,result_table_subgroup,1405
28921862,3,TableTidier,result_table_subgroup,452
30287422,2,TableTidier,result_table_subgroup,1632
30352894,2,TableTidier,result_table_subgroup,1251
30392095,2,TableTidier,result_table_subgroup,321
30547388,2,TableTidier,result_table_subgroup,304
30547388,4,TableTidier,result_table_subgroup,51
30609212,2,TableTidier,result_table_subgroup,66
30609212,3,TableTidier,result_table_subgroup,340
30026335,2,TableTidier,result_table_subgroup,412
9603532,1,TableTidier,result_table_subgroup,645
9848888,2,TableTidier,result_table_subgroup,271
9892586,3,TableTidier,result_table_subgroup,355
9892586,4,TableTidier,result_table_subgroup,211
15781429,2,TableTidier,result_table_subgroup,34
18398080,2,TableTidier,result_table_subgroup,893
18667204,2,result_table_without_subgroup,result_table_without_subgroup,1260
18972097,1,TableTidier,result_table_subgroup,670
19660610,2,TableTidier,result_table_subgroup,97
20487050,2,TableTidier,result_table_subgroup,1044
23040830,2,TableTidier,result_table_subgroup,967
24918789,2,TableTidier,result_table_subgroup,1007
28391886,2,TableTidier,result_table_subgroup,1055
30354517,1,TableTidier,result_table_subgroup,376
30953107,2,TableTidier,result_table_subgroup,865
24727254,2,TableTidier,result_table_subgroup,1417
24727254,3,TableTidier,result_table_subgroup,568
19917888,2,TableTidier,result_table_subgroup,823
